appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-团购,奋斗猫,2,陕西奋斗猫网络技术有限公司,7860,暂无,Android 4.4.4 以上,18.91MB,2018年03月24日,3.1.20180323
网上购物-团购-优惠,惠品折,155,杭州双静网络技术服务有限公司,349.4万,63.00%,Android 4.0.2 以上,1.46MB,2017年05月08日,4.0
网上购物-团购,百度团购,762,百度在线网络技术（北京）有限公司,45.7万,99.00%,Android 2.2.x 以上,13.2MB,2015年01月30日,4.3.0
网上购物-团购,红包夺宝,121,北京点开科技有限公司,62.6万,99.00%,Android 4.0.2 以上,13.94MB,2017年08月21日,2.0.8
网上购物-团购,迪信通,-2,北京迪信通商贸股份有限公司,44万,100.00%,Android 4.1.x 以上,25.19MB,2017年12月18日,3.2.2
网上购物-团购,岑溪人家,0,,3330,暂无,Android 2.3.7 以上,23.57MB,2016年12月25日,2.2.0
网上购物-商城-团购,易迅网,106,易迅网,167.8万,43.00%,Android 4.1.x 以上,13.53MB,2017年03月22日,v3.2.7
网上购物-团购,淘工厂,0,,1170,暂无,Android 4.1.x 以上,6.32MB,2016年09月03日,1.13
网上购物-商城-团购-优惠,正点购,19,广州品唯软件有限公司,51万,50.00%,Android 4.0.2 以上,8.43MB,2016年07月22日,3.8.1
网上购物-团购,团购,97,轻电商,22.2万,暂无,Android 2.2.x 以上,3.25MB,2015年08月12日,3.1.4
网上购物-团购,特唯普电子烟健康管家,1,成都搜酷科技有限公司,1440,暂无,Android 3.0.0 以上,1.44MB,2015年12月30日,2.6
网上购物-团购,1元快抢,0,,855,暂无,Android 4.0.2 以上,666.99KB,2016年09月04日,1.2.0
网上购物-商城-团购-优惠,棠丝Tangsi,0,,452,暂无,Android 2.2.x 以上,4.68MB,2016年08月27日,1.6.9
网上购物-团购,易佳购,0,联盛易佳电子商务有限公司,4050,暂无,Android 4.0.2 以上,6.57MB,2018年03月15日,3.1.2
网上购物-团购,团购网,0,王毅,2.1万,暂无,Android 2.1.0 以上,160.16KB,2014年09月02日,1.0
网上购物-团购,威海八爪团,4,威海新正网络技术有限公司,6.8万,48.00%,Android 1.6.0 以上,18.29MB,2016年11月28日,04.07.0002
网上购物-团购,惠民通,2,广东车信通科技服务有限公司,3.8万,暂无,Android 3.0.0 以上,28.35MB,2016年11月14日,1.3.4
网上购物-团购,抢多多1元购物神器,103,深圳太惊喜科技有限公司,1.4万,100.00%,Android 4.1.x 以上,10.02MB,2017年08月14日,1.0.1
网上购物-团购,澜渟,1,麦澜德,705,100.00%,Android 4.4.4 以上,13.96MB,2017年06月15日,3.1.8
网上购物-团购,超市宝商家,0,沈阳笨鸟电子商务服务有限公司,300,暂无,Android 1.5.0 以上,5.46MB,2018年01月11日,1.8
网上购物-团购,惠来钱,0,济南心引力网络科技有限公司,2550,暂无,Android 4.0.3 以上,7.07MB,2018年03月27日,5.2.2
网上购物-团购,鱼乐圈,0,长沙泉水网络科技有限公司,873,暂无,Android 2.2.x 以上,3.28MB,2017年11月13日,2.0
网上购物-团购,微泗洪,0,泗洪泗州网络科技有限公司,3120,暂无,Android 4.1.x 以上,35.12MB,2017年12月20日,4.2.5
网上购物-团购,嬉牛旅行,0,上海全数网络科技有限公司,315,暂无,Android 4.2.x 以上,15.62MB,2018年03月15日,1.0.9
网上购物-团购,拼趣多商家版,1,深圳市前海朵莓网络科技有限公司,840,暂无,Android 4.4.4 以上,20.07MB,2017年11月06日,1.1.2
网上购物-团购,吃喝玩乐网,0,梦搜移动,2.5万,暂无,Android 2.1.0 以上,3.27MB,2014年09月02日,1.0
网上购物-团购,民情E通正式版,0,温州联线网络科技有限公司,3.7万,暂无,Android 2.3.7 以上,2.88MB,2014年09月02日,1.0.55
网上购物-团购,58信鱼,0,上海禾唐网络科技有限公司,989,暂无,Android 3.1.0 以上,18.16MB,2017年05月19日,3.1.1
网上购物-团购,店连店,3,店连店科技股份有限公司,7.8万,50.00%,Android 4.1.x 以上,14.24MB,2016年05月04日,5.0.6
网上购物-团购,水族汇,1,北京水族汇科技有限公司,7290,暂无,Android 2.3.2 以上,14.22MB,2016年05月03日,1.0.9
网上购物-团购,智慧犍为,0,,1039,暂无,Android 4.0.2 以上,18.77MB,2016年03月24日,1.04
网上购物-团购,1元拼购,0,北京亿元通网络科技有限公司,1305,暂无,Android 3.1.0 以上,4.89MB,2016年12月06日,3.0.9
网上购物-团购,宣汉团购网,0,宣汉县恒信网络服务部,1.1万,暂无,Android 1.6.0 以上,6.62MB,2015年06月05日,05.01.0001
网上购物-团购,乡愁,0,北京恩源科技有限公司,972,暂无,Android 4.0.2 以上,5.74MB,2017年08月22日,1.5.0
网上购物-团购,抢红包,28,动信通（北京）科技有限公司,8280,92.00%,Android 4.0.2 以上,12.88MB,2017年02月08日,4.6.6
网上购物-团购,中华考试网,0,,8310,暂无,Android 2.2.x 以上,1.15MB,2015年05月30日,2.2.2
网上购物-团购-优惠,711团,0,,282,暂无,Android 2.2.x 以上,11.66MB,2016年08月27日,v1.0.0
网上购物-团购,邮我邮箱大全,35,合肥魔方网络科技有限公司,9525,100.00%,Android 2.1.0 以上,4.95MB,2016年04月18日,5.4.5
网上购物-团购,志愿东营区,0,山东福生佳信科技股份有限公司,405,暂无,Android 4.1.x 以上,13.25MB,2018年02月23日,1.4.1
网上购物-团购,会计糖,0,,427,暂无,Android 4.0.2 以上,19.01MB,2016年08月26日,V2.0_16_0202
网上购物-团购,拼得好,-1,汕头市澄海区拼得好文化创意有限公司,6120,暂无,Android 4.4.4 以上,9.65MB,2017年04月10日,1.61
网上购物-团购,福鼎事,0,福鼎市四月天网络技术工作室,437,暂无,Android 4.0.2 以上,20MB,2017年03月16日,3.2.6
网上购物-团购,8181军人网,0,湛江军缘科技有限公司,570,暂无,Android 4.0.2 以上,14.96MB,2017年12月27日,2.5.0
网上购物-团购,数字通 DAP,0,Google Play提供,6525,暂无,Android 4.4.4 以上,38.2MB,2017年08月02日,2017.07.31
网上购物-团购,淘宝HD,14,淘宝中国软件有限公司,33万,53.00%,Android 4.0.2 以上,20.92MB,2015年11月24日,2.6.5
